Type,Arrival_Time,Num_Servers,LES,Avg_LES,AvgC_LES,WAvgC_LES,Waiting_Time,Is_Served,Service_Time
0,43.0,0,1.0,1.0,0.0,0.0,1.0,true,7.0
7,3.0,0,0.0,1.0,0.0,0.0,1.0,true,48.0
2,48.0,0,1.0,1.0,0.0,0.0,1.0,true,42.0
7,3.0,0,0.0,1.0,0.0,0.0,1.0,true,48.0
1,89.0,0,0.0,1.0,0.0,0.0,1.0,true,12.0
0,64.0,0,1.0,1.0,0.0,0.0,1.0,true,50.0
0,43.0,0,1.0,1.0,0.0,0.0,1.0,true,7.0
4,82.0,0,1.0,1.0,0.0,0.0,1.0,true,44.0
0,120.0,0,1.0,1.0,0.0,0.0,1.0,true,8.0
1,61.0,0,1.0,0.8571428571428571,0.0,0.0,1.0,true,72.0
1,48.0,0,1.0,0.75,0.0,0.0,0.0,true,102.0
0,82.0,0,1.0,1.0,0.0,0.0,1.0,true,68.0
1,120.0,0,1.0,1.0,0.0,0.0,1.0,true,48.0
0,82.0,0,1.0,1.0,0.0,0.0,1.0,true,87.0
2,48.0,0,1.0,1.0,0.0,0.0,1.0,true,42.0
4,82.0,0,1.0,1.0,0.0,0.0,1.0,true,97.0
1,120.0,0,1.0,1.0,0.0,0.0,1.0,true,60.0
2,76.0,0,1.0,1.0,0.0,0.0,1.0,true,105.0
0,83.0,0,1.0,1.0,0.0,0.0,1.0,true,98.0
1,32.0,0,0.0,1.0,0.0,0.0,1.0,true,165.0
0,139.0,0,1.0,1.0,0.0,0.0,1.0,true,65.0
10,191.0,0,1.0,1.0,0.0,0.0,1.0,true,14.0
1,90.0,0,0.0,1.0,0.0,0.0,1.0,true,118.0
1,149.0,0,1.0,1.0,0.0,0.0,1.0,true,67.0
1,32.0,0,0.0,1.0,0.0,0.0,1.0,true,165.0
0,96.0,0,1.0,1.0,0.0,0.0,1.0,true,130.0
1,48.0,0,1.0,0.75,0.0,0.0,0.0,true,102.0
1,66.0,0,1.0,0.8888888888888888,0.0,0.0,1.0,true,164.0
0,139.0,0,1.0,1.0,0.0,0.0,1.0,true,91.0
0,64.0,0,1.0,1.0,0.0,0.0,1.0,true,50.0
1,214.0,0,1.0,0.9411764705882353,0.0,0.0,0.0,true,20.0
0,172.0,0,1.0,0.8666666666666667,0.0,0.0,1.0,true,64.0
0,130.0,0,1.0,1.0,0.0,0.0,1.0,true,112.0
1,61.0,0,1.0,0.8571428571428571,0.0,0.0,1.0,true,72.0
2,218.0,0,1.0,1.0,0.0,0.0,1.0,true,26.0
1,180.0,0,1.0,0.9285714285714286,0.0,0.0,1.0,true,67.0
0,185.0,0,1.0,0.875,0.0,0.0,1.0,true,64.0
1,253.0,0,0.0,0.8333333333333334,0.0,0.0,0.0,true,6.0
0,57.0,0,1.0,1.0,0.0,0.0,1.0,true,204.0
2,64.0,0,1.0,1.0,0.0,0.0,1.0,true,200.0
1,39.0,0,0.0,1.0,0.0,0.0,1.0,true,227.0
2,228.0,0,1.0,1.0,0.0,0.0,1.0,true,40.0
1,155.0,0,1.0,0.9230769230769231,0.0,0.0,1.0,true,114.0
0,100.0,0,1.0,1.0,0.0,0.0,1.0,true,170.0
1,172.0,0,1.0,0.9285714285714286,0.0,0.0,1.0,true,102.0
1,89.0,0,0.0,1.0,0.0,0.0,1.0,true,12.0
1,123.0,0,1.0,1.0,0.0,0.0,1.0,true,162.0
2,165.0,0,1.0,1.0,0.0,0.0,1.0,true,120.0
1,271.0,0,1.0,0.8148148148148148,0.0,0.0,1.0,true,15.0
4,82.0,0,1.0,1.0,0.0,0.0,1.0,true,44.0
0,103.0,0,1.0,1.0,0.0,0.0,1.0,true,187.0
0,84.0,0,1.0,1.0,0.0,0.0,1.0,true,208.0
0,87.0,0,1.0,1.0,0.0,0.0,1.0,true,205.0
1,137.0,0,1.0,1.0,0.0,0.0,1.0,true,155.0
1,131.0,0,1.0,1.0,0.0,0.0,1.0,true,162.0
2,90.0,0,1.0,1.0,0.0,0.0,1.0,true,204.0
1,127.0,0,1.0,1.0,0.0,0.0,1.0,true,167.0
1,76.0,0,1.0,0.9,0.0,0.0,1.0,true,219.0
1,82.0,0,0.0,1.0,0.0,0.0,1.0,true,213.0
4,117.0,0,1.0,1.0,0.0,0.0,1.0,true,178.0
0,197.0,0,1.0,0.875,0.0,0.0,1.0,true,98.0
0,65.0,0,1.0,1.0,0.0,0.0,1.0,true,231.0
1,45.0,0,1.0,1.0,0.0,0.0,1.0,true,253.0
1,224.0,0,1.0,0.9473684210526315,0.0,0.0,1.0,true,78.0
0,82.0,0,1.0,1.0,0.0,0.0,1.0,true,68.0
0,120.0,0,1.0,1.0,0.0,0.0,1.0,true,8.0
0,196.0,0,1.0,0.875,0.0,0.0,1.0,true,111.0
0,176.0,0,1.0,0.8666666666666667,0.0,0.0,1.0,true,136.0
2,101.0,0,1.0,1.0,0.0,0.0,1.0,true,217.0
0,82.0,0,1.0,1.0,0.0,0.0,1.0,true,87.0
2,238.0,0,1.0,1.0,0.0,0.0,1.0,true,81.0
2,76.0,0,1.0,1.0,0.0,0.0,1.0,true,105.0
1,208.0,0,1.0,1.0,0.0,0.0,1.0,true,116.0
0,296.0,0,1.0,1.0,0.0,0.0,1.0,true,30.0
1,39.0,0,0.0,1.0,0.0,0.0,1.0,true,227.0
0,293.0,0,1.0,1.0,0.0,0.0,1.0,true,34.0
0,261.0,0,1.0,1.0,0.0,0.0,1.0,true,67.0
4,82.0,0,1.0,1.0,0.0,0.0,1.0,true,97.0
1,126.0,0,1.0,1.0,0.0,0.0,1.0,true,206.0
2,227.0,0,1.0,1.0,0.0,0.0,1.0,true,105.0
0,178.0,0,1.0,0.8666666666666667,0.0,0.0,1.0,true,157.0
0,241.0,0,1.0,1.0,0.0,0.0,1.0,true,94.0
1,120.0,0,1.0,1.0,0.0,0.0,1.0,true,48.0
0,83.0,0,1.0,1.0,0.0,0.0,1.0,true,98.0
1,251.0,0,0.0,0.875,0.0,0.0,1.0,true,93.0
0,205.0,0,1.0,0.9375,0.0,0.0,1.0,true,140.0
0,154.0,0,1.0,0.8571428571428571,0.0,0.0,1.0,true,194.0
0,241.0,0,1.0,1.0,0.0,0.0,1.0,true,107.0
10,227.0,0,1.0,1.0,0.0,0.0,1.0,true,122.0
0,327.0,0,1.0,1.0,0.0,0.0,1.0,true,23.0
1,59.0,0,1.0,0.8,0.0,0.0,1.0,true,294.0
0,201.0,0,1.0,0.9375,0.0,0.0,1.0,true,152.0
0,57.0,0,1.0,1.0,0.0,0.0,1.0,true,204.0
1,174.0,0,1.0,0.9285714285714286,0.0,0.0,1.0,true,180.0
0,37.0,0,1.0,1.0,0.0,0.0,1.0,true,318.0
1,120.0,0,1.0,1.0,0.0,0.0,1.0,true,60.0
5,357.0,0,1.0,1.0,0.0,0.0,1.0,true,2.0
1,215.0,0,1.0,0.9411764705882353,0.0,0.0,1.0,true,146.0
1,66.0,0,1.0,0.8888888888888888,0.0,0.0,1.0,true,164.0
1,103.0,0,1.0,1.0,0.0,0.0,1.0,true,260.0
5,182.0,0,1.0,1.0,0.0,0.0,1.0,true,181.0
0,327.0,0,1.0,1.0,0.0,0.0,1.0,true,38.0
2,306.0,0,1.0,0.9411764705882353,0.0,0.0,1.0,true,60.0
2,70.0,0,1.0,1.0,0.0,0.0,1.0,true,298.0
1,79.0,0,0.0,0.9,0.0,0.0,1.0,true,289.0
1,76.0,0,1.0,0.9,0.0,0.0,1.0,true,296.0
1,45.0,0,1.0,1.0,0.0,0.0,1.0,true,253.0
1,179.0,0,1.0,0.9285714285714286,0.0,0.0,1.0,true,197.0
4,331.0,0,1.0,1.0,0.0,0.0,1.0,true,47.0
0,370.0,0,1.0,1.0,0.0,0.0,1.0,true,8.0
0,126.0,0,1.0,1.0,0.0,0.0,1.0,true,254.0
10,191.0,0,1.0,1.0,0.0,0.0,1.0,true,14.0
2,64.0,0,1.0,1.0,0.0,0.0,1.0,true,200.0
1,90.0,0,0.0,1.0,0.0,0.0,1.0,true,118.0
0,139.0,0,1.0,1.0,0.0,0.0,1.0,true,65.0
1,119.0,0,1.0,1.0,0.0,0.0,1.0,true,266.0
0,173.0,0,1.0,0.8666666666666667,0.0,0.0,1.0,true,212.0
1,187.0,0,1.0,0.9333333333333333,0.0,0.0,1.0,true,200.0
0,217.0,0,1.0,1.0,0.0,0.0,1.0,true,172.0
5,41.0,0,0.0,1.0,0.0,0.0,1.0,true,350.0
1,59.0,0,1.0,0.8333333333333334,0.0,0.0,1.0,true,332.0
0,140.0,0,1.0,1.0,0.0,0.0,1.0,true,251.0
1,96.0,0,1.0,1.0,0.0,0.0,1.0,true,299.0
0,110.0,0,1.0,1.0,0.0,0.0,1.0,true,285.0
2,154.0,0,1.0,1.0,0.0,0.0,1.0,true,241.0
1,149.0,0,1.0,1.0,0.0,0.0,1.0,true,67.0
2,251.0,0,1.0,0.9230769230769231,0.0,0.0,0.0,true,147.0
0,309.0,0,1.0,1.0,0.0,0.0,1.0,true,89.0
2,332.0,0,1.0,0.95,0.0,0.0,1.0,true,66.0
1,83.0,0,1.0,1.0,0.0,0.0,1.0,true,316.0
0,139.0,0,1.0,1.0,0.0,0.0,1.0,true,260.0
2,204.0,0,1.0,1.0,0.0,0.0,1.0,true,195.0
0,96.0,0,1.0,1.0,0.0,0.0,1.0,true,130.0
2,349.0,0,1.0,0.9523809523809523,0.0,0.0,1.0,true,50.0
2,287.0,0,1.0,0.9375,0.0,0.0,1.0,true,114.0
0,266.0,0,1.0,1.0,0.0,0.0,1.0,true,136.0
0,319.0,0,1.0,1.0,0.0,0.0,1.0,true,83.0
1,358.0,0,1.0,0.9347826086956522,0.0,0.0,1.0,true,45.0
0,139.0,0,1.0,1.0,0.0,0.0,1.0,true,91.0
1,287.0,0,1.0,0.8666666666666667,0.0,0.0,1.0,true,119.0
1,214.0,0,1.0,0.9411764705882353,0.0,0.0,0.0,true,20.0
0,130.0,0,1.0,1.0,0.0,0.0,1.0,true,112.0
0,37.0,0,1.0,1.0,0.0,0.0,1.0,true,318.0
0,403.0,0,1.0,1.0,0.0,0.0,1.0,true,9.0
